"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"G","Chris Smith",6500,"Golf@Golf 06:00AM ET",19.000,"Golf"
"G","Camilo Villegas",6500,"Golf@Golf 06:00AM ET",47.250,"Golf"
"G","Nick Taylor",6400,"Golf@Golf 06:00AM ET",54.174,"Golf"
"G","Tim Petrovic",6400,"Golf@Golf 06:00AM ET",30.600,"Golf"
"G","Carlos Ortiz",6400,"Golf@Golf 06:00AM ET",39.981,"Golf"
"G","Jeff Overton",6400,"Golf@Golf 06:00AM ET",40.917,"Golf"
"G","Martin Piller",6400,"Golf@Golf 06:00AM ET",42.526,"Golf"
"G","Andres Romero",6400,"Golf@Golf 06:00AM ET",45.864,"Golf"
"G","Brice Garnett",6400,"Golf@Golf 06:00AM ET",49.125,"Golf"
"G","Tyler Aldridge",6400,"Golf@Golf 06:00AM ET",45.760,"Golf"
"G","John Merrick",6400,"Golf@Golf 06:00AM ET",46.600,"Golf"
"G","Robert Allenby",6300,"Golf@Golf 06:00AM ET",27.000,"Golf"
"G","Arjun Atwal",6300,"Golf@Golf 06:00AM ET",38.200,"Golf"
"G","Frank Lickliter",6300,"Golf@Golf 06:00AM ET",31.500,"Golf"
"G","Lucas Lee",6300,"Golf@Golf 06:00AM ET",36.538,"Golf"
"G","Sam Saunders",6300,"Golf@Golf 06:00AM ET",43.595,"Golf"
"G","Bud Cauley",6300,"Golf@Golf 06:00AM ET",53.308,"Golf"
"G","Dicky Pride",6300,"Golf@Golf 06:00AM ET",33.722,"Golf"
"G","Matt Weibring",6300,"Golf@Golf 06:00AM ET",0,"Golf"
"G","Chesson Hadley",6300,"Golf@Golf 06:00AM ET",46.313,"Golf"
"G","Dong-Hwan Lee",6200,"Golf@Golf 06:00AM ET",37.526,"Golf"
"G","Zac Blair",6200,"Golf@Golf 06:00AM ET",47.393,"Golf"
"G","Rod Pampling",6200,"Golf@Golf 06:00AM ET",42.375,"Golf"
"G","Greg Owen",6200,"Golf@Golf 06:00AM ET",43.692,"Golf"
"G","Robby Shelton",6200,"Golf@Golf 06:00AM ET",40.167,"Golf"
"G","D.A. Points",6200,"Golf@Golf 06:00AM ET",45.367,"Golf"
"G","Andrew Landry",6200,"Golf@Golf 06:00AM ET",38.700,"Golf"
"G","Mark Wilson",6200,"Golf@Golf 06:00AM ET",42.611,"Golf"
"G","Whee Kim",6200,"Golf@Golf 06:00AM ET",43.500,"Golf"
"G","Steven Bowditch",6100,"Golf@Golf 06:00AM ET",34.460,"Golf"
"G","Eric Axley",6100,"Golf@Golf 06:00AM ET",35.500,"Golf"
"G","Rory Sabbatini",6100,"Golf@Golf 06:00AM ET",38.632,"Golf"
"G","Len Mattiace",6100,"Golf@Golf 06:00AM ET",0,"Golf"
"G","Mark Hensby",6100,"Golf@Golf 06:00AM ET",23.875,"Golf"
"G","Lee McCoy",6100,"Golf@Golf 06:00AM ET",36.800,"Golf"
"G","George McNeill",6100,"Golf@Golf 06:00AM ET",34.690,"Golf"
"G","Kelly Kraft",6100,"Golf@Golf 06:00AM ET",47.206,"Golf"
"G","Derek Ernst",6100,"Golf@Golf 06:00AM ET",43.353,"Golf"
"G","Cameron Beckman",6100,"Golf@Golf 06:00AM ET",26.900,"Golf"
"G","Steve Marino",6000,"Golf@Golf 06:00AM ET",45.143,"Golf"
"G","Austin Connelly",6000,"Golf@Golf 06:00AM ET",30.667,"Golf"
"G","Jordan Niebrugge",6000,"Golf@Golf 06:00AM ET",21.625,"Golf"
"G","Richard Lee",6000,"Golf@Golf 06:00AM ET",32.200,"Golf"
"G","Dudley Hart",6000,"Golf@Golf 06:00AM ET",0,"Golf"
"G","Matt Every",6000,"Golf@Golf 06:00AM ET",33.967,"Golf"
"G","Hiroshi Iwata",6000,"Golf@Golf 06:00AM ET",44.712,"Golf"
"G","Tim Wilkinson",6000,"Golf@Golf 06:00AM ET",53.000,"Golf"
"G","Darron Stiles",6000,"Golf@Golf 06:00AM ET",37.214,"Golf"
"G","Mike Weir",5900,"Golf@Golf 06:00AM ET",16.375,"Golf"
"G","Jarrod Lyle",5900,"Golf@Golf 06:00AM ET",45.611,"Golf"
"G","Shaun Micheel",5900,"Golf@Golf 06:00AM ET",14.250,"Golf"
"G","Sung Kang",5900,"Golf@Golf 06:00AM ET",48.313,"Golf"
"G","Ken Duke",5900,"Golf@Golf 06:00AM ET",42.912,"Golf"
"G","Andrew Loupe",5900,"Golf@Golf 06:00AM ET",48.771,"Golf"
"G","Tom Gillis",5900,"Golf@Golf 06:00AM ET",38.350,"Golf"
"G","Erik Compton",5800,"Golf@Golf 06:00AM ET",37.413,"Golf"
"G","D.J. Trahan",5800,"Golf@Golf 06:00AM ET",49.591,"Golf"
"G","Charlie Danielson",5800,"Golf@Golf 06:00AM ET",32.750,"Golf"
"G","Angel Cabrera",5800,"Golf@Golf 06:00AM ET",39.050,"Golf"
"G","Brian Gay",5800,"Golf@Golf 06:00AM ET",37.167,"Golf"
"G","Heath Slocum",5800,"Golf@Golf 06:00AM ET",21.600,"Golf"
"G","Rob Oppenheim",5800,"Golf@Golf 06:00AM ET",46.750,"Golf"
"G","Ryan  McClintock",5800,"Golf@Golf 06:00AM ET",0,"Golf"
"G","Abraham Ancer",5700,"Golf@Golf 06:00AM ET",37.250,"Golf"
"G","Troy Matteson",5700,"Golf@Golf 06:00AM ET",69.500,"Golf"
"G","Ted Purdy",5700,"Golf@Golf 06:00AM ET",42.000,"Golf"
"G","Brendon Todd",5700,"Golf@Golf 06:00AM ET",29.212,"Golf"
"G","Dawie Van der Walt",5700,"Golf@Golf 06:00AM ET",43.568,"Golf"
"G","Matt Bettencourt",5700,"Golf@Golf 06:00AM ET",34.333,"Golf"
"G","Craig Barlow",5700,"Golf@Golf 06:00AM ET",24.500,"Golf"
"G","Daniel Chopra",5600,"Golf@Golf 06:00AM ET",28.500,"Golf"
"G","Trevor Immelman",5600,"Golf@Golf 06:00AM ET",26.700,"Golf"
"G","Ben Curtis",5600,"Golf@Golf 06:00AM ET",13.000,"Golf"
"G","Charlie Wi",5600,"Golf@Golf 06:00AM ET",37.000,"Golf"
"G","Brian  Bullington",5600,"Golf@Golf 06:00AM ET",0,"Golf"
