"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"G","Spencer Levin",5900,"Golf@Golf 08:15AM ET",53.517,"Golf"
"G","Marc Leishman",5800,"Golf@Golf 08:15AM ET",63.109,"Golf"
"G","Harold Varner",5800,"Golf@Golf 08:15AM ET",54.750,"Golf"
"G","K.J. Choi",5800,"Golf@Golf 08:15AM ET",55.810,"Golf"
"G","Bryce Molder",5800,"Golf@Golf 08:15AM ET",52.563,"Golf"
"G","Ricky Barnes",5800,"Golf@Golf 08:15AM ET",56.464,"Golf"
"G","John Huh",5700,"Golf@Golf 08:15AM ET",50.250,"Golf"
"G","Jason Kokrak",5700,"Golf@Golf 08:15AM ET",53.519,"Golf"
"G","Charles Howell",5700,"Golf@Golf 08:15AM ET",67.870,"Golf"
"G","Chad Campbell",5700,"Golf@Golf 08:15AM ET",53.426,"Golf"
"G","Jason Bohn",5700,"Golf@Golf 08:15AM ET",55.050,"Golf"
"G","Brian Harman",5600,"Golf@Golf 08:15AM ET",55.086,"Golf"
"G","Brian Stuard",5600,"Golf@Golf 08:15AM ET",47.158,"Golf"
"G","Colt Knost",5600,"Golf@Golf 08:15AM ET",56.604,"Golf"
"G","Fabian Gomez",5600,"Golf@Golf 08:15AM ET",51.021,"Golf"
"G","Vijay Singh",5600,"Golf@Golf 08:15AM ET",50.833,"Golf"
"G","Ben Martin",5600,"Golf@Golf 08:15AM ET",58.420,"Golf"
"G","Hudson Swafford",5500,"Golf@Golf 08:15AM ET",58.786,"Golf"
"G","Sung Kang",5500,"Golf@Golf 08:15AM ET",51.963,"Golf"
"G","James Hahn",5500,"Golf@Golf 08:15AM ET",49.167,"Golf"
"G","Jon Curran",5500,"Golf@Golf 08:15AM ET",52.196,"Golf"
"G","Adam Hadwin",5500,"Golf@Golf 08:15AM ET",59.942,"Golf"
"G","Tyrone Van Aswegen",5500,"Golf@Golf 08:15AM ET",54.345,"Golf"
